Number of Contributors,Reside in US,Currency Used,Age,Relationship Status,Children Currently,Children Desired,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Working Industry,Employer Type,Job Role,Job Title,Housing Situation,Cost of Living Index,Financially Independent,FI Number,Percent of FI Amount,Retired,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,Type of FI,Work if FI,Intended Retirement Age,Inflation/Recession Effects,FI Number [Retired],Annual Withdrawal Rate,Annual Withdrawal Amount,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,Yes,USD,36-40,"Single, never married",,,For an organization,,,,,,,,Own,61-70,No,450000.0,10.0,,600000.0,4.0,,24000.0,LeanFI,Partially,51-55,No change,,,,201400.0,0.0,0.0,0.0,2021
1,Yes,USD,21-25,"In a relationship, but not married",,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,31-35,"Single, never married",,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,31-35,"Single, never married",,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,31-35,Married,,,For an organization,,,,Education,Public agency,Professional (licensed / certificated),Educational Diagnostician,Own,61-70,No,750000.0,30.0,,1300000.0,3.5,40000.0,70000.0,ChubbyFI,Partially,41-45,Increased my FI and/or RE number,,,,725000.0,308000.0,140000.0,140000.0,2021
2,No,CAD,26-30,"In a relationship, but not married",,2.0,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,21-25,"In a relationship, but not married",,,For an organization,,,,,,,,Rent,61-70,No,1250000.0,16.0,,1500000.0,4.0,60000.0,50000.0,FI,Yes,36-40,"Increased my FI and/or RE number,Increased my planned RE date",,,,220000.0,25000.0,88900.0,88900.0,2021
2,Yes,USD,36-40,Married,2.0,,For an organization,,,,Information Technology,Public corporation,Information technology,Software architect,Own,71-80,No,2700000.0,55.0,,100.0,4.0,100000.0,90000.0,FI,Partially,46-50,Increased my FI and/or RE number,,,,1865000.0,181000.0,125000.0,400000.0,2021
1,Yes,USD,51-55,"In a relationship, but not married",1.0,0.0,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,26-30,Married,1.0,1.0,For an organization,,,,,,,,Own,61-70,No,1500000.0,2.5,,1500000.0,4.0,0.0,60000.0,Barista / Coast FI,Yes,51-55,Increased my FI and/or RE number,,,,552000.0,442000.0,8850.0,10000.0,2021
1,Yes,USD,31-35,"In a relationship, but not married",,,For an organization,For an organization,,,,,,,Rent,81-90,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,31-35,"Single, never married",,,For an organization,,,,,,,,Own,91-100,No,5000000.0,20.0,,5000000.0,4.0,350000.0,200000.0,FI,Partially,46-50,No change,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,26-30,Married,,2.0,For an organization,,,,Financial Services,Public corporation,Professional (non-licensed),Financial analyst,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,31-35,"Single, never married",,,For an organization,,,,,,,,Rent,81-90,Yes,,,No,2500000.0,3.0,,60000.0,FatFI,No,41-45,Increased my FI and/or RE number,1500000.0,,,1700000.0,0.0,0.0,0.0,2021
1,No,EUR,21-25,"In a relationship, but not married",,,,,For an organization,,,,,,Live with family or friends,71-80,No,295508.2742316785,4.0,,5910165.48463357,3.0,29550.827423167848,35460.99290780142,FatFI,Partially,66-70,No change,,,,40189.125295508275,0.0,2718.676122931442,13475.17730496454,2021
2,Yes,USD,36-40,Married,,,For an organization,,,,"Arts, Entertainment, Recreation",Self-employed,General labor,Forest therapy guide,Own,71-80,Yes,,,No,3000000.0,3.0,15000.0,40000.0,FI,Undecided,41-45,No change,2000000.0,,,2650000.0,188000.0,123000.0,182000.0,2021
2,Yes,USD,26-30,Married,,,For an organization,,,,Education,Self-employed,,Nanny,Own,61-70,No,1200000.0,2.0,,1200000.0,3.0,24000.0,36000.0,FI,Undecided,51-55,No change,,,,240913.0,196135.0,66362.0,53000.0,2021
1,Yes,USD,36-40,"Single, never married",,,For an organization,,,,,,,,Own,71-80,No,2000000.0,25.0,,200000.0,3.0,25000.0,60000.0,FI,Yes,46-50,No change,,,,1055000.0,795000.0,460000.0,460000.0,2021
1,Yes,USD,51-55,Married,1.0,0.0,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,31-35,Married,,,For an organization,,,,,,,,Rent,61-70,No,2000000.0,18.0,,2000000.0,3.5,,50000.0,FI,Partially,41-45,No change,,,,381000.0,0.0,125622.0,167000.0,2021
1,Yes,USD,31-35,"Single, never married",,,For an organization,,,,,,,,Rent,81-90,No,1250000.0,70.0,,1250000.0,3.5,40000.0,40000.0,FI,Yes,31-35,No change,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,31-35,Married,2.0,0.0,For an organization,,,,,,,,Own,91-100,No,3000000.0,20.0,,3000000.0,4.0,40000.0,120000.0,ChubbyFI,Yes,46-50,No change,,,,1250000.0,450000.0,100000.0,600000.0,2021
1,Yes,USD,31-35,Married,1.0,1.0,For an organization,,,,,,,,Own,61-70,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,21-25,"Single, never married",,,For an organization,,,,,,,,Rent,61-70,No,2000000.0,3.0,,2000000.0,3.5,20000.0,70000.0,FI,Yes,36-40,"Increased my FI and/or RE number,Increased my planned RE date",,,,65000.0,5000.0,95000.0,95000.0,2021
2,Yes,USD,31-35,Married,,,For an organization,,,,Information Technology,Private corporation,Information technology,senior software engineer,Own,81-90,No,1500000.0,50.0,,,3.5,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,46-50,Married,3.0,0.0,,For myself,,,Other Services,Self-employed,General labor,caretaker,Own,81-90,No,2000000.0,50.0,,2000000.0,4.0,,75000.0,FI,Partially,61-65,No change,,,,1162000.0,121000.0,171600.0,182000.0,2021
1,Yes,USD,21-25,"Single, never married",,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,26-30,Married,1.0,3.0,For an organization,,,,,,,,Own,61-70,No,1500000.0,10.0,,1500000.0,3.5,75000.0,65000.0,ChubbyFI,Undecided,41-45,Increased my FI and/or RE number,,,,576000.0,130000.0,129500.0,130000.0,2021
1,Yes,USD,36-40,Divorced,,,For an organization,,,,,,,,Own,91-100,Yes,,,No,1000000.0,3.5,,30000.0,LeanFI,Partially,36-40,No change,1000000.0,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,36-40,Married,,1.0,For an organization,,,,Public Administration (Civilian Government),Public agency,Management - Middle / Lower,,Rent,81-90,No,2500000.0,38.0,,3000000.0,3.75,20000.0,85000.0,FI,No,46-50,No change,,,,869000.0,0.0,280000.0,280000.0,2021
1,Yes,USD,31-35,"Single, never married",,,For an organization,,,,,,,,Own,81-90,No,1500000.0,10.0,,1500000.0,4.0,60000.0,48000.0,FI,Undecided,51-55,No change,,,,613254.0,306838.0,124540.0,124540.0,2021
1,Yes,USD,26-30,"In a relationship, but not married",,1.0,For an organization,,,,,,,,Live with family or friends,71-80,No,1500000.0,6.0,,2500000.0,3.0,100000.0,60000.0,FI,Undecided,46-50,"Increased my FI and/or RE number,Increased my planned RE date",,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,31-35,Married,,1.0,For an organization,,,,Information Technology,Public corporation,Information technology,,Own,71-80,No,1700000.0,60.0,,2000000.0,3.0,12000.0,50000.0,FI,Partially,36-40,Increased my FI and/or RE number,,,,1318000.0,0.0,367000.0,367000.0,2021
1,Yes,USD,26-30,"Single, never married",,3.0,For an organization,,For an organization,For myself,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,26-30,"Single, never married",,,For an organization,,,,,,,,Live with family or friends,61-70,No,1500000.0,33.0,,1500000.0,4.0,,60000.0,FI,Undecided,36-40,Increased my FI and/or RE number,,,,546000.0,0.0,192900.0,175000.0,2021
1,No,EUR,21-25,"Single, never married",,,For an organization,,,,,,,,Rent,61-70,No,1773049.645390071,20.0,,2955082.742316785,3.5,29550.827423167848,59101.654846335696,ChubbyFI,Partially,41-45,No change,,,,354609.9290780142,0.0,0.0,82742.31678486998,2021
2,Yes,USD,51-55,Married,1.0,0.0,,For an organization,,,Engineering,Private corporation,Professional (licensed / certificated),Engineer,Own,81-90,Yes,,,No,4000000.0,3.0,,80000.0,FI,Partially,51-55,No change,3500000.0,,,4000000.0,0.0,67500.0,150000.0,2021
